date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-11-17,14.5,12.7,16.7,0,,341,16,,1016.6,
2022-11-18,15.3,11.7,19.6,0,,228,18.3,,1015.6,
2022-11-19,14.5,10.5,18.5,0,,239,19.6,,1014.6,
2022-11-20,13.9,7,20,0,,196,20.5,,1014.4,
2022-11-21,13.2,5,18.6,0,,67,14.6,,1013.5,
2022-11-22,12.9,7.3,16,0,,326,14.5,,1014.5,
2022-11-23,13.4,12.1,14.6,0,,340,13.1,,1015.4,
2022-11-24,14.4,12.9,17,0,,318,11.7,,1015.3,
2022-11-25,13.8,12.2,15.5,0,,319,11.8,,1015.5,
2022-11-26,13.6,11.9,15.1,0,,314,11,,1015.2,
2022-11-27,14.5,11.9,17.2,0,,326,12.4,,1015.4,
2022-11-28,14.9,13.9,16.7,0,,299,13.2,,1015.8,
2022-11-29,14.6,13.9,15.6,0,,267,8,,1015.9,
2022-11-30,14.8,11,18,0,,256,12.9,,1017.4,
2022-12-01,13.8,9.7,17.7,0,,339,14.9,,1016.2,
2022-12-02,14.2,12,16.2,0,,313,14.8,,1016.4,
2022-12-03,15.6,13,20,0,,305,11.7,,1017.1,
2022-12-04,15.1,10,19,0,,298,15,,1013.7,
2022-12-05,14.5,11.9,17,0,,356,14.2,,1013.3,
2022-12-06,15.4,8.6,21,0,,227,12.4,,1014.4,
2022-12-07,14.6,10.9,18,0,,302,14.2,,1016.3,
2022-12-08,15.4,9.7,19,0,,212,15.6,,1014.6,
2022-12-09,16.2,12.8,21,0,,267,12.7,,1014,
2022-12-10,16.8,11.3,21.4,0,,287,14.2,,1013.5,
2022-12-11,18.1,10.6,28.2,0,,228,19.8,,1012.5,
2022-12-12,15.6,9,22.1,0,,298,15.3,,1014.3,
2022-12-13,14.9,8.7,18,0,,316,12.7,,1012.9,
2022-12-14,14,11.1,17.1,0,,348,13.7,,1015.6,
2022-12-15,16.3,9,23,0,,265,14,,1012.5,
2022-12-16,14.1,11,17.4,0,,322,17,,1011.9,
2022-12-17,14.4,11,17,0,,289,15.3,,1013.8,
2022-12-18,12.8,8,16,0,,255,11,,1013.6,
2022-12-19,14.5,10,18,0,,296,12.9,,1015.7,
2022-12-20,14.8,7,20,0,,225,12.7,,1017.4,
2022-12-21,14.8,9,18.2,0,,256,13.9,,1015.7,
